epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.395198,1.93055,3.25788,1.7813,0.00951,1,0.34825,0.20397,1.40311,3.4746,1.9962,0,0,0
2,0.758737,1.53344,3.00948,2.01367,0.00944,1,0.37312,0.22387,1.424,3.46622,1.99216,1.41485e-05,1.41485e-05,1.41485e-05
3,1.12042,1.54149,2.99011,1.6681,0.00946,1,0.74625,0.4975,1.43751,3.41501,1.90643,2.80141e-05,2.80141e-05,2.80141e-05
4,1.47143,1.9141,3.08537,1.98471,0.00952,1,0.74625,0.50012,1.32413,3.39394,1.8324,4.15968e-05,4.15968e-05,4.15968e-05
5,1.85471,1.17425,2.93471,1.4031,0.00965,1,0.74625,0.4975,1.40479,3.36306,1.78563,5.48965e-05,5.48965e-05,5.48965e-05
6,2.20052,1.20428,2.9048,1.53591,0.0098,1,0.74625,0.4975,1.3605,3.38895,1.75613,6.79132e-05,6.79132e-05,6.79132e-05
7,2.55439,1.1309,2.9316,1.34057,0.01001,1,0.74625,0.4975,1.24907,3.40395,1.71265,8.0647e-05,8.0647e-05,8.0647e-05
8,2.90819,1.06707,2.91191,1.33895,0.01121,1,0.597,0.4378,1.06051,3.42711,1.66759,9.30979e-05,9.30979e-05,9.30979e-05
9,3.34858,1.84928,3.17862,2.09665,0.01387,1,0.597,0.38805,1.03859,3.41826,1.57759,0.000105266,0.000105266,0.000105266
10,3.69066,0.97844,2.76386,1.58813,0.01805,1,0.58042,0.21558,1.0694,3.36793,1.50321,0.000117151,0.000117151,0.000117151
11,4.0302,1.0178,2.81616,1.6153,0.02446,1,0.56857,0.35773,0.99156,3.31343,1.4187,0.000128753,0.000128753,0.000128753
12,4.37047,2.17119,3.52538,2.0515,0.03477,1,0.597,0.36815,0.7053,3.39129,1.34998,0.000140072,0.000140072,0.000140072
13,4.7084,1.04343,2.75633,1.61695,0.0369,1,0.66333,0.39918,0.7704,3.32751,1.3049,0.000151108,0.000151108,0.000151108
14,5.04765,1.07438,2.60903,1.40517,0.03929,1,0.74625,0.4216,0.78651,3.31209,1.20785,0.000161861,0.000161861,0.000161861
15,5.38425,2.30973,3.09589,2.56291,0.03008,1,0.74625,0.4442,0.68791,3.2834,1.12885,0.000172332,0.000172332,0.000172332
16,5.72062,1.04833,2.5773,1.42933,0.02559,1,0.74625,0.47263,0.5994,3.24795,1.06181,0.000182519,0.000182519,0.000182519
